n,k,seed,num_edges,mu,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,timestamp
80,2,45,166,0.1,bnb_c,0.00914311408996582,True,False,0.421523443170272,True,,lfr,2026-03-11T21:25:25.384137
80,2,46,159,0.1,gurobi,0.0937950611114502,True,False,0.40160594913175734,True,,lfr,2026-03-11T21:25:25.597729
80,2,46,159,0.1,bnb_c,0.01043391227722168,True,False,0.401605949131759,True,,lfr,2026-03-11T21:25:25.719047
80,2,47,161,0.1,gurobi,0.16213393211364746,True,False,0.4018942170440952,True,,lfr,2026-03-11T21:25:25.996868
80,2,47,161,0.1,bnb_c,0.014483928680419922,True,False,0.401894217044095,True,,lfr,2026-03-11T21:25:26.122260
80,2,48,157,0.1,gurobi,0.15689921379089355,True,False,0.39644610329019886,True,,lfr,2026-03-11T21:25:26.388820
80,2,48,157,0.1,bnb_c,0.015620946884155273,True,False,0.396446103290194,True,,lfr,2026-03-11T21:25:26.514158
80,2,49,152,0.1,gurobi,0.054492950439453125,True,False,0.41843403739612456,True,,lfr,2026-03-11T21:25:26.686794
80,2,49,152,0.1,bnb_c,0.008202075958251953,True,False,0.418434037396122,True,,lfr,2026-03-11T21:25:26.797493
80,2,0,141,0.15,gurobi,0.12684011459350586,True,False,0.39339067451335535,True,,lfr,2026-03-11T21:25:27.042926
80,2,0,141,0.15,bnb_c,0.030712127685546875,True,False,0.393390674513355,True,,lfr,2026-03-11T21:25:27.182590
80,2,1,154,0.15,gurobi,0.5114600658416748,True,False,0.3636363636363594,True,,lfr,2026-03-11T21:25:27.812571
80,2,1,154,0.15,bnb_c,0.047473907470703125,True,False,0.363636363636364,True,,lfr,2026-03-11T21:25:27.963327
80,2,2,161,0.15,gurobi,0.2477428913116455,True,False,0.38048300605686625,True,,lfr,2026-03-11T21:25:28.326236
80,2,2,161,0.15,bnb_c,0.021542787551879883,True,False,0.380483006056865,True,,lfr,2026-03-11T21:25:28.457551
80,2,3,162,0.15,gurobi,0.634162187576294,True,False,0.357719859777476,True,,lfr,2026-03-11T21:25:29.202106
80,2,3,162,0.15,bnb_c,0.0315098762512207,True,False,0.357719859777473,True,,lfr,2026-03-11T21:25:29.336818
80,2,4,154,0.15,gurobi,0.1118159294128418,True,False,0.3820838252656372,True,,lfr,2026-03-11T21:25:29.556868
80,2,4,154,0.15,bnb_c,0.01498723030090332,True,False,0.382083825265644,True,,lfr,2026-03-11T21:25:29.676094
80,2,5,145,0.15,gurobi,0.19721174240112305,True,False,0.4034244946492197,True,,lfr,2026-03-11T21:25:29.989927
