n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
80,77,2,29,113,gurobi,0.031245946884155273,True,False,0.482261727621585,True,,abcd,0.01,2026-03-12T12:57:15.345806
80,77,2,29,113,bnb_c,0.0068018436431884766,True,False,0.482261727621584,True,,abcd,0.01,2026-03-12T12:57:15.446132
80,80,2,30,118,gurobi,0.08213114738464355,True,False,0.45874030451019493,True,,abcd,0.01,2026-03-12T12:57:15.652123
80,80,2,30,118,bnb_c,0.009104728698730469,True,False,0.458740304510198,True,,abcd,0.01,2026-03-12T12:57:15.775809
80,80,2,31,121,gurobi,0.06946301460266113,True,False,0.4338501468478898,True,,abcd,0.01,2026-03-12T12:57:15.972673
80,80,2,31,121,bnb_c,0.013428211212158203,True,False,0.433850146847893,True,,abcd,0.01,2026-03-12T12:57:16.110571
80,80,2,32,116,gurobi,0.03327012062072754,True,False,0.48836950059453,True,,abcd,0.01,2026-03-12T12:57:16.266011
80,80,2,32,116,bnb_c,0.007595062255859375,True,False,0.48836950059453,True,,abcd,0.01,2026-03-12T12:57:16.395162
80,80,2,33,113,gurobi,0.06633186340332031,True,False,0.4557522123893785,True,,abcd,0.01,2026-03-12T12:57:16.590126
80,80,2,33,113,bnb_c,0.011683225631713867,True,False,0.45575221238938,True,,abcd,0.01,2026-03-12T12:57:16.725184
80,80,2,34,101,gurobi,0.05379605293273926,True,False,0.470100970493094,True,,abcd,0.01,2026-03-12T12:57:16.905348
80,80,2,34,101,bnb_c,0.009325742721557617,True,False,0.470100970493089,True,,abcd,0.01,2026-03-12T12:57:17.037718
80,33,2,35,42,gurobi,0.18297100067138672,True,False,0.40476190476190416,True,,abcd,0.01,2026-03-12T12:57:17.321638
80,33,2,35,42,bnb_c,0.00645899772644043,True,False,0.404761904761905,True,,abcd,0.01,2026-03-12T12:57:17.424509
80,77,2,36,118,gurobi,0.06006503105163574,True,False,0.45558029301924474,True,,abcd,0.01,2026-03-12T12:57:17.585785
80,77,2,36,118,bnb_c,0.009181976318359375,True,False,0.455580293019247,True,,abcd,0.01,2026-03-12T12:57:17.690450
80,52,2,37,73,gurobi,0.020672082901000977,True,False,0.48292362544567463,True,,abcd,0.01,2026-03-12T12:57:17.817257
80,52,2,37,73,bnb_c,0.006303071975708008,True,False,0.482923625445675,True,,abcd,0.01,2026-03-12T12:57:17.917762
80,80,2,38,121,gurobi,0.036463022232055664,True,False,0.49173553719008223,True,,abcd,0.01,2026-03-12T12:57:18.075840
80,80,2,38,121,bnb_c,0.007516145706176758,True,False,0.491735537190083,True,,abcd,0.01,2026-03-12T12:57:18.198540
80,80,2,39,115,gurobi,0.03512692451477051,True,False,0.4795463137996269,True,,abcd,0.01,2026-03-12T12:57:18.360219
80,80,2,39,115,bnb_c,0.007426023483276367,True,False,0.479546313799622,True,,abcd,0.01,2026-03-12T12:57:18.478969
80,52,2,40,69,gurobi,0.022421836853027344,True,False,0.4649233354337308,True,,abcd,0.01,2026-03-12T12:57:18.605515
80,52,2,40,69,bnb_c,0.006005287170410156,True,False,0.464923335433732,True,,abcd,0.01,2026-03-12T12:57:18.705654
80,45,2,41,81,gurobi,0.019695043563842773,True,False,0.3492607834171617,True,,abcd,0.01,2026-03-12T12:57:18.828084
80,45,2,41,81,bnb_c,0.007678031921386719,True,False,0.349260783417162,True,,abcd,0.01,2026-03-12T12:57:18.936041
80,80,2,42,118,gurobi,0.046772003173828125,True,False,0.47023125538637944,True,,abcd,0.01,2026-03-12T12:57:19.105750
80,80,2,42,118,bnb_c,0.007776975631713867,True,False,0.470231255386383,True,,abcd,0.01,2026-03-12T12:57:19.226044
80,80,2,43,122,gurobi,0.052005767822265625,True,False,0.4459822628325652,True,,abcd,0.01,2026-03-12T12:57:19.401553
80,80,2,43,122,bnb_c,0.012676000595092773,True,False,0.445982262832572,True,,abcd,0.01,2026-03-12T12:57:19.529514
80,80,2,44,114,gurobi,0.06491494178771973,True,False,0.4597953216374269,True,,abcd,0.01,2026-03-12T12:57:19.725031
80,80,2,44,114,bnb_c,0.009515762329101562,True,False,0.459795321637427,True,,abcd,0.01,2026-03-12T12:57:19.857968
80,80,2,45,113,gurobi,0.05459904670715332,True,False,0.45512569504268346,True,,abcd,0.01,2026-03-12T12:57:20.047736
80,80,2,45,113,bnb_c,0.009624004364013672,True,False,0.455125695042682,True,,abcd,0.01,2026-03-12T12:57:20.182214
80,80,2,46,122,gurobi,0.03307390213012695,True,False,0.48347218489653204,True,,abcd,0.01,2026-03-12T12:57:20.333472
80,80,2,46,122,bnb_c,0.008182048797607422,True,False,0.483472184896533,True,,abcd,0.01,2026-03-12T12:57:20.462563
