n,k,graph_seed,num_edges,iterations,run,time,success,timed_out,modularity,optimal_modularity,error,timestamp,found_optimal,gap
100,2,2,284,2,2,0.007344961166381836,True,False,0.4088908450704225,0.4088908450704225,,2026-02-02T20:32:04.863437,True,0.0
100,2,3,312,2,3,0.006595134735107422,True,False,0.36612426035502954,0.3790064102564103,,2026-02-02T20:32:05.068800,False,0.012882149901380757
100,2,4,261,2,4,0.006006956100463867,True,False,0.437566976409624,0.437566976409624,,2026-02-02T20:32:05.274097,True,0.0
100,2,5,253,2,5,0.0058879852294921875,True,False,0.41362152197347246,0.4169023106125701,,2026-02-02T20:32:05.482093,False,0.0032807886390976426
100,2,6,267,2,6,0.005226850509643555,True,False,0.41321943076772016,0.4187111616097855,,2026-02-02T20:32:05.689181,False,0.005491730842065334
100,2,7,271,2,7,0.0063550472259521484,True,False,0.4021187075339388,0.41049958470064407,,2026-02-02T20:32:05.897494,False,0.00838087716670527
100,2,8,287,2,8,0.005774021148681641,True,False,0.3675897485704573,0.42680498731318817,,2026-02-02T20:32:06.104415,False,0.05921523874273088
100,2,9,301,2,9,0.00578618049621582,True,False,0.40630898113707353,0.40630898113707353,,2026-02-02T20:32:06.311523,True,0.0
100,2,10,249,2,10,0.0056629180908203125,True,False,0.3925743133175271,0.41795293624296387,,2026-02-02T20:32:06.516812,False,0.025378622925436745
100,2,11,296,2,11,0.005978822708129883,True,False,0.42356989590942296,0.42356989590942296,,2026-02-02T20:32:06.723041,True,0.0
100,2,12,303,2,12,0.00613093376159668,True,False,0.38342101536886364,0.4009192998507771,,2026-02-02T20:32:06.930869,False,0.017498284481913484
100,2,13,278,2,13,0.005501985549926758,True,False,0.3903783448061695,0.3989441540292946,,2026-02-02T20:32:07.135416,False,0.00856580922312511
100,2,14,279,2,14,0.006021261215209961,True,False,0.43516912680977893,0.43516912680977893,,2026-02-02T20:32:07.343000,True,0.0
100,2,15,326,2,15,0.00603175163269043,True,False,0.34355357747751136,0.39090199104219214,,2026-02-02T20:32:07.549080,False,0.04734841356468078
