n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
20,20,2,29,24,bnb_c,0.02077317237854004,True,False,0.457465277777778,True,,abcd,0.1,2026-03-03T02:42:27.905859
20,20,2,30,22,gurobi,0.02765202522277832,True,False,0.4090909090909098,True,,abcd,0.1,2026-03-03T02:42:28.057353
20,20,2,30,22,bnb_c,0.021565914154052734,True,False,0.409090909090909,True,,abcd,0.1,2026-03-03T02:42:28.192051
20,20,2,31,24,gurobi,0.021554231643676758,True,False,0.40277777777777807,True,,abcd,0.1,2026-03-03T02:42:28.338816
20,20,2,31,24,bnb_c,0.023018836975097656,True,False,0.402777777777778,True,,abcd,0.1,2026-03-03T02:42:28.475099
20,20,2,32,24,gurobi,0.016826868057250977,True,False,0.41579861111111105,True,,abcd,0.1,2026-03-03T02:42:28.625981
20,20,2,32,24,bnb_c,0.020226001739501953,True,False,0.415798611111111,True,,abcd,0.1,2026-03-03T02:42:28.760531
20,15,2,33,19,gurobi,0.011450052261352539,True,False,0.3975069252077561,True,,abcd,0.1,2026-03-03T02:42:28.878341
20,15,2,33,19,bnb_c,0.016561031341552734,True,False,0.397506925207756,True,,abcd,0.1,2026-03-03T02:42:28.990732
20,20,2,34,23,gurobi,0.03295183181762695,True,False,0.36956521739130455,True,,abcd,0.1,2026-03-03T02:42:29.147269
20,20,2,34,23,bnb_c,0.0226590633392334,True,False,0.369565217391304,True,,abcd,0.1,2026-03-03T02:42:29.284862
20,17,2,35,19,gurobi,0.01655292510986328,True,False,0.3933518005540166,True,,abcd,0.1,2026-03-03T02:42:29.413903
20,17,2,35,19,bnb_c,0.017770051956176758,True,False,0.393351800554017,True,,abcd,0.1,2026-03-03T02:42:29.526968
20,20,2,36,24,gurobi,0.017796993255615234,True,False,0.3741319444444448,True,,abcd,0.1,2026-03-03T02:42:29.674732
20,20,2,36,24,bnb_c,0.021358013153076172,True,False,0.374131944444445,True,,abcd,0.1,2026-03-03T02:42:29.812100
20,20,2,37,23,gurobi,0.017358779907226562,True,False,0.4224952741020797,True,,abcd,0.1,2026-03-03T02:42:29.964836
20,20,2,37,23,bnb_c,0.022450923919677734,True,False,0.422495274102079,True,,abcd,0.1,2026-03-03T02:42:30.101175
20,14,2,38,16,gurobi,0.010930776596069336,True,False,0.3671875,True,,abcd,0.1,2026-03-03T02:42:30.217985
20,14,2,38,16,bnb_c,0.015112876892089844,True,False,0.3671875,True,,abcd,0.1,2026-03-03T02:42:30.330004
20,16,2,39,21,gurobi,0.012806892395019531,True,False,0.43424036281179124,True,,abcd,0.1,2026-03-03T02:42:30.444276
